survey,PS1SN-g,PS1SN-r,PS1SN-i,PS1SN-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
PS1SN,18.9545994,17.963699300000002,17.5561008,17.364999800000003,18.97439956665039,18.008899688720703,17.576099395751953,17.37779998779297,54.81745549,-27.52767245
PS1SN,18.487199800000003,18.023000699999997,17.8448009,17.770399100000002,18.498699188232422,18.063199996948242,17.851600646972656,17.789100646972656,54.79742049,-27.37889241
PS1SN,18.8036995,18.529600100000003,18.4477997,18.447399100000002,18.812000274658203,18.59040069580078,18.467199325561523,18.471500396728516,54.79734337,-27.51061
PS1SN,18.4085999,18.1474991,18.0797997,18.0797997,18.402099609375,18.18600082397461,18.082799911499023,18.11520004272461,54.83178003,-27.57850429
PS1SN,18.953100199999998,18.849199300000002,18.6713009,18.602199600000002,18.94260025024414,18.878400802612305,18.68910026550293,18.620899200439453,54.41620845,-27.34611388
PS1SN,18.901599899999997,18.331600199999997,18.1362,18.0692005,18.9143009185791,18.36840057373047,18.167600631713867,18.08810043334961,54.41048537,-27.20566623
PS1SN,18.8066998,18.4848003,18.378200500000002,18.358900100000003,18.82200050354004,18.51460075378418,18.400999069213867,18.372299194335938,54.4638917,-27.28010849
PS1SN,17.3486004,16.9342003,16.8083,16.779199600000002,17.390899658203125,16.97010040283203,16.83970069885254,16.815099716186523,54.40958105,-27.47410071
PS1SN,18.3696003,17.412300100000003,17.0261002,16.8449001,18.39259910583496,17.455799102783203,17.046100616455078,16.875200271606445,54.40604734,-27.39658172
PS1SN,18.9778996,17.7826004,17.163299600000002,16.864900600000002,18.97170066833496,17.806800842285156,17.177499771118164,16.886499404907227,54.52669057,-27.50833243
PS1SN,17.710500699999997,17.0834007,16.8722,16.7928009,17.73390007019043,17.12929916381836,16.900400161743164,16.8169002532959,54.49611225,-27.52506189
PS1SN,17.4909992,17.105100600000004,16.981500600000004,16.959100699999997,17.494199752807617,17.148099899291992,16.999900817871094,16.988500595092773,54.63782605,-27.47627345
PS1SN,18.2779007,17.7684002,17.585399600000002,17.5165997,18.28820037841797,17.805099487304688,17.603900909423828,17.550199508666992,54.48423699,-27.60741709
PS1SN,18.026800199999997,17.5354004,17.377899199999998,17.3295994,18.028400421142578,17.579700469970703,17.40559959411621,17.35140037536621,54.52300693,-27.43856914
PS1SN,17.6968002,17.4386997,17.3631992,17.3605995,17.694400787353516,17.483600616455078,17.408899307250977,17.38330078125,54.565858,-27.35351145
PS1SN,18.8754997,18.2458,17.9978008,17.8819008,18.911399841308594,18.296899795532227,18.030399322509766,17.9197998046875,54.45274651,-27.33205749
PS1SN,18.9188995,18.498300600000004,18.3490009,18.3015003,18.932600021362305,18.54509925842285,18.377599716186523,18.327299118041992,54.40885382,-27.53229462
PS1SN,18.3642998,17.8712997,17.6812,17.611000100000002,18.37660026550293,17.898000717163086,17.710500717163086,17.63909912109375,54.58393064,-27.42982177
PS1SN,18.6639004,17.650400199999996,17.2366009,17.0484009,18.68429946899414,17.704599380493164,17.26420021057129,17.082399368286133,54.68998771,-27.64032477
PS1SN,17.415700899999997,16.9766006,16.832799899999998,16.7917995,17.43079948425293,17.019800186157227,16.858299255371094,16.823999404907227,54.68853565,-27.73846991
PS1SN,18.0657997,17.4074001,17.153999300000002,17.041099499999998,18.086299896240234,17.454700469970703,17.172700881958008,17.065900802612305,54.62798673,-27.73785415
