survey,SNLS-g,SNLS-r,SNLS-i,SNLS-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,SNLS-g_AV,SNLS-r_AV,SNLS-i_AV,SNLS-z_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
SNLS,17.3733,17.0346,16.9295,16.9038,17.3704,17.0486,16.9272,16.9083,36.2164,-4.42062,0.0729861,0.0515187,0.0377251,0.029465,0.0741162,0.0524654,0.038787,0.0306323
SNLS,17.6243,17.3895,17.3136,17.2945,17.6201,17.3873,17.3119,17.3248,36.9623,-4.40894,0.0794615,0.0560894,0.0410721,0.0320791,0.0806918,0.0571202,0.0422282,0.03335
SNLS,18.9123,18.4136,18.2015,18.1079,18.8936,18.4197,18.2088,18.1441,36.8434,-4.40974,0.0767549,0.054179,0.0396731,0.0309865,0.0779433,0.0551746,0.0407899,0.032214
SNLS,18.7534,18.0778,17.8122,17.6966,18.7615,18.0839,17.8309,17.7152,36.8001,-4.40682,0.0764114,0.0539365,0.0394955,0.0308478,0.0775945,0.0549277,0.0406073,0.0320699
SNLS,17.2317,16.6972,16.4667,16.3774,17.2411,16.7201,16.4938,16.403,36.6077,-4.39254,0.081053,0.0572129,0.0418947,0.0327217,0.082308,0.0582642,0.043074,0.034018
SNLS,17.0145,16.4934,16.3154,16.2486,17.0278,16.5199,16.3308,16.2808,36.0381,-4.38773,0.079812,0.0563369,0.0412533,0.0322207,0.0810478,0.0573722,0.0424145,0.0334971
SNLS,16.866,16.5568,16.4418,16.4194,16.8817,16.5799,16.4547,16.4328,36.0567,-4.38521,0.0793343,0.0559997,0.0410063,0.0320278,0.0805627,0.0570288,0.0421607,0.0332966
SNLS,16.949,16.6582,16.5553,16.534,16.9458,16.6714,16.5636,16.5508,36.5053,-4.38099,0.0787161,0.0555633,0.0406868,0.0317782,0.079935,0.0565844,0.0418321,0.0330372
SNLS,18.2267,17.5179,17.2451,17.132,18.2417,17.5398,17.2649,17.1608,36.5659,-4.37755,0.0777767,0.0549002,0.0402012,0.031399,0.078981,0.0559091,0.0413329,0.0326429
SNLS,18.589,18.0585,17.8581,17.7734,18.6066,18.0924,17.8698,17.7992,36.5072,-4.37887,0.0786784,0.0555367,0.0406673,0.031763,0.0798966,0.0565573,0.0418121,0.0330213
