survey,CFA3S-B,CFA3S-V,CFA3S-R,CFA3S-I,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,CFA3S-B_AV,CFA3S-V_AV,CFA3S-R_AV,CFA3S-I_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
CFA3S,15.8462,15.3269,14.931,14.5871,15.5229,15.1487,15.0027,14.973,74.1968,-4.81081,0.154348,0.118399,0.0897217,0.0655186,0.138007,0.0976922,0.0722227,0.0570382
CFA3S,16.4172,15.8785,15.497,15.169,16.0508,15.7077,15.6025,15.5836,74.1651,-4.7519,0.151787,0.116435,0.088233,0.0644314,0.135717,0.0960713,0.0710243,0.0560918
CFA3S,18.0186,17.1949,16.6867,16.2991,17.3168,16.8748,16.7063,16.6466,74.1562,-4.79677,0.152698,0.117134,0.0887626,0.0648181,0.136531,0.0966479,0.0714506,0.0564285
CFA3S,18.0811,17.33,16.8312,16.4357,17.6308,17.0961,16.8947,16.8369,144.566,25.5229,0.0705892,0.0541486,0.0410332,0.0299642,0.0631158,0.0446784,0.0330302,0.0260858
CFA3S,17.8474,17.2148,16.7713,16.4165,17.4538,17.0101,16.8413,16.8154,144.52,25.5753,0.0686237,0.0526409,0.0398906,0.0291298,0.0613583,0.0434344,0.0321105,0.0253594
CFA3S,18.3921,17.9695,17.6424,17.3052,18.1445,17.8382,17.7376,17.7363,144.503,25.5439,0.0736777,0.0565178,0.0428285,0.0312752,0.0658773,0.0466332,0.0344754,0.0272271
CFA3S,18.3715,17.5204,16.8827,16.4024,17.873,17.1766,16.8913,16.781,144.489,25.4276,0.0741518,0.0568815,0.0431041,0.0314764,0.0663012,0.0469333,0.0346972,0.0274023
CFA3S,15.6533,15.1085,14.7254,14.4654,15.2816,14.9123,14.7827,14.7883,144.48,25.4174,0.0735757,0.0564395,0.0427692,0.0312319,0.0657861,0.0465687,0.0344277,0.0271894
CFA3S,16.3231,15.4745,14.8942,14.4064,15.785,15.1507,14.8651,14.752,144.462,25.476,0.0759695,0.0582758,0.0441607,0.032248,0.0679265,0.0480838,0.0355478,0.0280741
CFA3S,15.9393,15.3595,14.9392,14.5919,15.5739,15.1593,15.0116,14.984,144.409,25.4855,0.0732858,0.0562172,0.0426007,0.0311088,0.0655269,0.0463852,0.034292,0.0270823
CFA3S,17.7082,17.2513,16.9233,16.5793,17.4283,17.1376,17.029,17.0189,149.769,17.7717,0.116787,0.0895864,0.0678875,0.0495743,0.104422,0.0739184,0.054647,0.0431577
CFA3S,17.0072,16.5003,16.1213,15.8093,16.6999,16.3581,16.2262,16.1908,149.722,17.8138,0.115602,0.088678,0.0671991,0.0490716,0.103363,0.0731688,0.0540928,0.0427201
CFA3S,18.6848,18.066,17.6454,17.2437,18.3456,17.8772,17.6958,17.6268,347.752,7.52447,0.255968,0.196352,0.148793,0.108655,0.228868,0.162011,0.119773,0.0945913
CFA3S,18.0598,17.357,16.8354,16.3627,17.6631,17.0855,16.8334,16.741,347.732,7.4917,0.251316,0.192783,0.146089,0.10668,0.224709,0.159067,0.117596,0.0928722
CFA3S,17.3218,16.779,16.3724,16.0007,17.0079,16.5864,16.452,16.3883,347.697,7.6545,0.256604,0.19684,0.149163,0.108925,0.229437,0.162414,0.120071,0.0948265
CFA3S,18.6478,17.897,17.4084,16.9877,18.2883,17.7567,17.6053,17.5064,347.612,7.55179,0.210312,0.161329,0.122253,0.0892744,0.188046,0.133114,0.0984094,0.0777193
CFA3S,16.9183,16.3725,15.9738,15.6375,16.5568,16.1989,16.0682,16.0587,154.344,60.3036,0.029768,0.0228349,0.017304,0.0126361,0.0266164,0.0188412,0.0139291,0.0110006
CFA3S,15.401,14.9525,14.6154,14.3062,15.0812,14.8201,14.72,14.7159,196.988,34.1554,0.040483,0.0310543,0.0235326,0.0171845,0.036197,0.0256231,0.0189429,0.0149602
CFA3S,16.7837,16.1782,15.7384,15.3643,16.384,15.9578,15.8024,15.7772,196.981,34.0096,0.0426606,0.0327247,0.0247984,0.0181088,0.038144,0.0270014,0.0199618,0.0157649
CFA3S,16.197,15.6565,15.2641,14.9279,15.843,15.4837,15.3655,15.3466,196.968,34.1374,0.0422767,0.0324302,0.0245752,0.0179459,0.0378007,0.0267584,0.0197822,0.0156231
CFA3S,16.525,15.8112,15.3151,14.9153,16.0718,15.5416,15.3531,15.303,196.923,34.0698,0.040398,0.0309891,0.0234832,0.0171484,0.036121,0.0255693,0.0189031,0.0149288
CFA3S,18.5027,18.1172,17.7884,17.4649,18.2401,18.037,17.9046,17.8963,196.889,34.1752,0.0402514,0.0308767,0.023398,0.0170862,0.0359899,0.0254766,0.0188345,0.0148747
CFA3S,17.958,17.4162,17.0361,16.7172,17.5833,17.2395,17.0997,17.0726,154.491,21.7481,0.0875211,0.067137,0.0508756,0.0371515,0.078255,0.0553952,0.040953,0.0323429
CFA3S,16.2457,15.6739,15.2863,14.9702,15.8396,15.4781,15.3591,15.3298,154.478,21.7855,0.0875254,0.0671403,0.0508782,0.0371534,0.0782589,0.055398,0.040955,0.0323445
CFA3S,17.0377,16.4182,15.9516,15.5602,16.6524,16.1905,16.0086,15.9587,154.45,21.9001,0.0878816,0.0674136,0.0510852,0.0373046,0.0785774,0.0556234,0.0411217,0.0324761
CFA3S,17.2811,16.4808,15.8919,15.442,16.8072,16.1398,15.8891,15.7793,216.25,26.6564,0.0668319,0.0512664,0.0388491,0.0283692,0.0597563,0.0423003,0.0312721,0.0246973
CFA3S,18.1618,17.8138,17.4746,17.1777,17.8868,17.6721,17.5981,17.6111,216.233,26.6856,0.0671393,0.0515023,0.0390278,0.0284997,0.0600312,0.0424949,0.0314159,0.0248109
CFA3S,16.7673,16.0718,15.5871,15.1915,16.331,15.8232,15.6243,15.5529,216.196,26.6742,0.0666846,0.0511534,0.0387635,0.0283067,0.0596246,0.0422071,0.0312032,0.0246429
