survey,D3YR-g,D3YR-r,D3YR-i,D3YR-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,D3YR-g_AV,D3YR-r_AV,D3YR-i_AV,D3YR-z_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
D3YR,17.9089,17.2736,17.0401,16.906,17.8874,17.3334,17.0663,16.945,43.89,-0.678015,0.211236,0.140571,0.102916,0.0783961,0.209028,0.147967,0.10939,0.0863915
D3YR,16.9132,16.4186,16.2843,16.2237,16.8949,16.4581,16.2913,16.2379,43.8641,-0.674734,0.211735,0.140904,0.103159,0.0785813,0.209522,0.148316,0.109649,0.0865955
D3YR,17.531,17.0071,16.8568,16.7921,17.4604,17.0455,16.858,16.8067,40.9205,-1.58357,0.092455,0.061526,0.0450447,0.0343128,0.0914885,0.0647629,0.0478784,0.0378123
D3YR,17.7874,17.3327,17.1905,17.1233,17.7593,17.3661,17.2014,17.1516,43.8283,-0.682492,0.211461,0.140721,0.103025,0.0784796,0.209251,0.148124,0.109507,0.0864834
D3YR,17.0699,16.6702,16.563,16.5245,17.0553,16.7103,16.5661,16.5524,40.7566,-0.11505,0.103682,0.0689971,0.0505145,0.0384794,0.102598,0.072627,0.0536923,0.0424038
D3YR,18.9924,18.2108,17.9831,17.8626,18.9175,18.2646,17.9761,17.9015,40.8253,-0.00051132,0.103075,0.0685935,0.050219,0.0382544,0.101998,0.0722023,0.0533783,0.0421558
D3YR,18.5526,18.2787,18.0024,17.9777,18.6286,18.4011,18.1333,17.9186,40.7695,0.00151752,0.108916,0.0724804,0.0530647,0.040422,0.107778,0.0762936,0.0564029,0.0445445
D3YR,18.3567,17.405,17.1071,16.9364,18.2678,17.4948,17.1419,17.0088,43.5085,0.468684,0.288252,0.191823,0.140438,0.106979,0.285239,0.201915,0.149273,0.117889
D3YR,18.9946,18.6619,18.5738,18.5501,18.999,18.6714,18.5904,18.5795,43.0882,-0.132217,0.176972,0.11777,0.0862222,0.0656798,0.175122,0.123966,0.0916464,0.0723782
D3YR,18.5325,18.09,17.9602,17.9047,18.5038,18.142,17.9666,17.9344,43.0352,-0.859123,0.199956,0.133064,0.0974198,0.0742095,0.197865,0.140065,0.103548,0.0817779
D3YR,18.5916,18.137,18.0039,17.9521,18.5703,18.1667,18.0271,17.9874,40.8015,-1.97472,0.0944528,0.0628555,0.046018,0.0350542,0.0934654,0.0661623,0.048913,0.0386293
D3YR,18.3752,17.4721,17.1809,17.0151,18.3295,17.5483,17.227,17.0752,43.0993,0.806735,0.241799,0.16091,0.117806,0.0897388,0.239271,0.169375,0.125217,0.0988909
D3YR,17.8746,17.269,17.0808,16.9807,17.8277,17.3133,17.0889,17.0086,40.8778,0.168444,0.0959132,0.0638274,0.0467296,0.0355963,0.0949106,0.0671853,0.0496693,0.0392266
D3YR,18.0001,17.6161,17.4993,17.4677,17.9935,17.6632,17.4998,17.4951,40.8562,0.083263,0.09609,0.063945,0.0468157,0.0356619,0.0950855,0.0673091,0.0497608,0.0392989
D3YR,18.4904,17.914,17.7401,17.6542,18.4652,17.9473,17.7435,17.6859,40.8556,0.14585,0.0953893,0.0634787,0.0464743,0.0354018,0.0943921,0.0668183,0.049398,0.0390123
D3YR,17.2438,16.752,16.6265,16.5732,17.2229,16.7866,16.6242,16.6044,40.9027,0.158991,0.096314,0.0640941,0.0469249,0.035745,0.0953072,0.0674661,0.0498769,0.0393905
D3YR,17.1465,16.5594,16.3951,16.3227,17.1051,16.6131,16.4114,16.3532,43.5275,-0.888765,0.198158,0.131868,0.0965441,0.0735425,0.196087,0.138806,0.102618,0.0810428
D3YR,18.7566,18.1197,17.9115,17.8063,18.713,18.1698,17.9306,17.827,43.4998,-0.917242,0.193238,0.128594,0.0941469,0.0717164,0.191218,0.135359,0.10007,0.0790305
D3YR,18.6792,18.2374,18.1,18.05,18.6213,18.2706,18.1249,18.0578,43.451,-0.90829,0.190312,0.126647,0.0927212,0.0706304,0.188322,0.13331,0.0985542,0.0778337
D3YR,17.9766,17.6728,17.5833,17.5634,17.9488,17.7029,17.5917,17.5812,43.3652,-0.828868,0.194582,0.129488,0.0948016,0.0722151,0.192548,0.136301,0.100765,0.07958
D3YR,17.1938,16.4388,16.2087,16.0932,17.1404,16.4979,16.2323,16.132,42.1993,-0.609081,0.137557,0.0915402,0.0670188,0.0510516,0.136119,0.0963561,0.0712349,0.0562581
