survey,DES-g,DES-r,DES-i,DES-z,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC,DES-g_AV,DES-r_AV,DES-i_AV,DES-z_AV,PS1-g_AV,PS1-r_AV,PS1-i_AV,PS1-z_AV
DES,18.1394,17.4696,17.2501,17.1288,18.094,17.5234,17.2671,17.1619,42.2354,0.0926263,0.155006,0.103152,0.0755201,0.0575274,0.153386,0.108579,0.080271,0.0633944
DES,17.9543,17.5024,17.3669,17.3072,17.9261,17.5355,17.3748,17.3297,42.7336,0.843521,0.178502,0.118788,0.0869675,0.0662475,0.176636,0.125037,0.0924386,0.0730039
DES,17.1273,16.7388,16.616,16.5655,17.095,16.7612,16.6249,16.5821,42.6856,0.787376,0.169031,0.112485,0.082353,0.0627324,0.167264,0.118403,0.0875337,0.0691302
DES,18.0332,17.542,17.3734,17.292,18.0265,17.5688,17.3887,17.3271,42.6512,0.833439,0.167027,0.111151,0.0813767,0.0619887,0.165281,0.116999,0.086496,0.0683107
DES,17.8416,17.1496,16.9145,16.7873,17.8016,17.1946,16.9388,16.8319,43.1824,0.954186,0.236177,0.157168,0.115067,0.0876522,0.233708,0.165437,0.122306,0.0965916
DES,18.3331,17.6552,17.4462,17.3317,18.3191,17.711,17.4537,17.3974,43.0049,0.849871,0.219334,0.14596,0.106861,0.0814014,0.217041,0.153639,0.113583,0.0897032
DES,17.8746,17.2436,17.0289,16.915,17.8387,17.2795,17.0331,16.9407,43.0926,0.970861,0.223955,0.149035,0.109113,0.0831165,0.221614,0.156876,0.115977,0.0915932
DES,17.661,17.2077,17.0755,17.0181,17.6394,17.2262,17.0718,17.0283,42.3153,0.888889,0.173733,0.115614,0.0846439,0.0644775,0.171917,0.121696,0.0899687,0.0710533
DES,18.7673,18.0373,17.8089,17.6839,18.7179,18.0821,17.8303,17.763,42.0482,0.298228,0.147751,0.0983236,0.0719852,0.0548347,0.146206,0.103496,0.0765137,0.0604271
DES,18.0199,17.3293,17.1215,17.0071,17.9851,17.374,17.1334,17.0585,43.1281,0.949504,0.231219,0.153869,0.112652,0.0858124,0.228802,0.161965,0.119738,0.0945641
DES,17.691,16.8978,16.6311,16.4772,17.642,16.9449,16.6471,16.5339,42.8935,0.711528,0.218941,0.145699,0.10667,0.0812557,0.216653,0.153364,0.11338,0.0895426
DES,18.177,17.6507,17.501,17.435,18.1338,17.6867,17.5185,17.4539,41.8762,0.392522,0.127534,0.0848703,0.0621356,0.0473318,0.126201,0.0893354,0.0660445,0.052159
DES,18.501,17.7368,17.4944,17.359,18.4461,17.7871,17.5129,17.4097,42.0774,0.465951,0.146402,0.0974263,0.0713282,0.0543343,0.144872,0.102552,0.0758154,0.0598756
DES,17.2511,16.4434,16.1941,16.0542,17.2068,16.499,16.2166,16.0997,42.2771,0.295941,0.155345,0.103377,0.0756851,0.0576531,0.153721,0.108816,0.0804463,0.0635329
DES,16.7721,16.1046,15.8872,15.7713,16.7315,16.1526,15.912,15.8156,41.9871,0.297578,0.142447,0.0947939,0.069401,0.0528662,0.140958,0.0997811,0.0737669,0.0582578
DES,16.713,16.2937,16.1821,16.1388,16.6837,16.3217,16.1854,16.1536,41.8955,0.527242,0.123921,0.0824658,0.0603753,0.0459909,0.122626,0.0868044,0.0641734,0.0506813
